county_fips,fast_food_count_2009,fast_food_count_2014,PCT_change_fast_food_count,CPT_fast_food_2009,CPT_fast_food_2014,PCT_change_fast_food
46031,1,0,-100.0,0.251067035,0.0,-100.0
46033,6,4,-33.333333333,0.7411982709999999,0.473653049,-36.096309453
46035,16,17,6.25,0.8257212159999999,0.854915766,3.5356424439999996
46037,3,4,33.333333333,0.530691668,0.715819613,34.884275829
46039,2,2,0.0,0.45672528,0.463821892,1.55380334
46041,1,0,-100.0,0.190403656,0.0,-100.0
46043,0,0,0.0,0.0,0.0,0.0
46045,0,1,,0.0,0.251067035,
46047,9,5,-44.444444444,1.2755102040000001,0.73046019,-42.73192111
46049,0,1,,0.0,0.42426813700000005,
46051,6,7,16.666666667,0.81422174,0.9667173040000001,18.728996916
46053,1,0,-100.0,0.23474178399999998,0.0,-100.0
46055,2,1,-50.0,1.02406554,0.541418517,-47.130481861999996
46057,1,0,-100.0,0.17114496,0.0,-100.0
46059,2,1,-50.0,0.588408355,0.298953662,-49.192825112
46061,0,0,0.0,0.0,0.0,0.0
46063,0,0,0.0,0.0,0.0,0.0
46065,12,9,-25.0,0.71144839,0.510146242,-28.294694479
46067,2,2,0.0,0.273037543,0.27777777800000003,1.736111111
46069,0,0,0.0,0.0,0.0,0.0
46071,0,2,,0.0,0.610873549,
46073,0,0,0.0,0.0,0.0,0.0
46075,2,2,0.0,2.02020202,2.051282051,1.5384615380000002
46077,1,1,0.0,0.19432569,0.197044335,1.3990147780000002
46079,5,5,0.0,0.45110068600000003,0.40426908200000006,-10.381630012999999
46081,25,23,-8.0,1.051259409,0.932797988,-11.268524151
46083,19,16,-15.789473684,0.43656082,0.310390316,-28.901014078000003
46085,1,2,100.0,0.268600591,0.515862781,92.05571318
46087,1,1,0.0,0.178826896,0.17702248199999998,-1.009028147
