county_fips,PCT_poverty_rate_2015,PCT_poverty_rate_2015_children
19107,12.1,18.1
19109,11.6,15.1
19111,15.9,22.9
19113,11.0,12.2
19115,10.8,15.8
19117,14.7,24.1
19119,7.4,9.1
19121,8.2,10.3
19123,14.4,16.7
19125,9.2,10.6
19127,11.3,17.3
19129,10.3,13.5
19131,9.3,14.7
19133,13.2,18.0
19135,12.1,16.0
19137,13.4,19.6
19139,11.5,16.2
19141,9.2,12.3
19143,9.6,14.7
19145,15.7,24.0
19147,11.6,15.6
19149,8.3,10.2
19151,13.1,20.8
19153,11.9,14.7
19155,13.5,18.7
19157,10.9,12.6
19159,14.1,24.9
19161,10.9,14.3
19163,12.4,16.7
19165,9.2,11.3
19167,7.6,8.0
19169,18.6,9.5
19171,11.2,16.5
19173,14.7,20.3
19175,14.3,19.6
19177,15.8,24.7
19179,16.0,22.1
19181,7.8,8.9
19183,10.9,14.9
19185,16.4,26.2
19187,14.6,19.6
19189,10.8,15.0
19191,9.5,9.5
19193,14.0,19.6
19195,10.9,15.1
19197,12.6,18.2
20001,18.9,26.0
20003,14.0,19.9
20005,16.6,21.5
20007,11.1,17.3
20009,14.4,20.1
20011,18.2,26.5
20013,14.9,23.0
20015,10.6,12.8
20017,12.7,16.5
20019,16.8,25.6
20021,18.0,27.8
20023,12.3,19.2
20025,12.0,15.6
20027,11.1,16.9
20029,12.8,18.1
20031,9.9,12.4
20033,11.4,15.1
20035,15.3,21.4
20037,19.1,24.5
20039,12.3,19.6
20041,12.2,16.1
20043,13.2,19.3
20045,19.4,13.2
20047,10.6,14.0
20049,17.6,30.7
20051,12.0,12.2
20053,10.6,13.1
20055,14.6,20.5
20057,13.2,18.9
20059,11.7,17.3
20061,11.9,20.1
20063,9.9,14.9
20065,12.2,16.9
20067,10.2,15.8
20069,8.3,11.0
20071,11.4,18.4
20073,15.8,24.6
20075,13.1,19.8
20077,13.7,19.6
20079,9.4,13.5
20081,11.2,16.0
20083,9.6,12.2
20085,11.3,14.2
20087,9.1,13.9
20089,13.5,21.6
20091,5.5,6.5
20093,11.5,16.6
20095,11.5,16.9
20097,12.6,16.8
20099,18.2,27.3
20101,9.6,14.8
20103,10.7,13.1
20105,12.5,19.5
20107,14.0,21.2
20109,9.4,13.1
20111,17.5,18.9
20113,7.6,10.0
20115,10.9,14.4
20117,10.7,14.1
20119,9.5,12.3
20121,8.8,11.4
20123,10.5,14.8
20125,19.9,27.6
20127,10.8,16.9
20129,10.3,15.3
20131,8.8,10.0
20133,18.9,28.1
20135,9.4,13.6
20137,12.7,15.2
20139,12.7,17.1
20141,13.1,20.1
20143,10.0,13.8
20145,14.5,17.4
20147,11.1,17.0
20149,8.1,10.6
20151,10.8,15.6
20153,11.7,19.1
20155,13.1,17.9
20157,11.2,17.3
20159,13.8,18.1
20161,23.4,15.5
20163,11.7,15.5
20165,11.5,17.1
20167,13.2,20.7
20169,14.3,21.7
20171,7.7,12.0
20173,15.2,20.7
20175,15.0,18.2
20177,14.2,19.9
20179,10.9,17.3
20181,16.5,24.4
20183,12.2,16.5
20185,12.8,20.8
20187,10.9,16.6
20189,11.3,15.5
20191,11.7,17.6
20193,10.9,12.0
20195,10.4,14.6
20197,8.3,12.5
20199,12.4,15.9
20201,10.7,13.2
20203,10.9,16.5
20205,15.6,24.0
20207,19.5,29.6
20209,21.9,32.1
21001,27.2,41.0
21003,19.8,30.2
21005,10.7,16.8
21007,15.1,24.5
21009,19.3,28.7
21011,24.9,37.8
21013,44.7,56.8
21015,8.2,10.5
21017,14.8,24.4
21019,20.5,29.4
21021,17.2,24.9
21023,15.7,24.7
21025,32.9,42.9
21027,19.0,25.6
21029,9.6,14.5
21031,21.6,31.3
21033,18.8,29.4
21035,21.1,24.1
21037,14.4,17.8
21039,14.8,25.2
21041,17.6,28.7
21043,19.7,29.4
21045,25.1,38.2
21047,20.3,28.9
21049,15.4,23.9
21051,46.8,53.0
21053,26.4,39.6
21055,19.2,31.3
21057,24.8,36.2
21059,14.9,20.9
21061,20.0,28.6
21063,34.4,40.3
21065,28.2,38.8
21067,19.1,22.6
21069,20.0,31.8
21071,29.5,43.1
21073,13.7,22.5
21075,30.4,47.6
21077,15.0,23.8
21079,17.0,24.3
21081,16.4,27.0
21083,16.3,27.4
21085,22.9,32.5
21087,20.5,29.1
21089,16.8,23.5
21091,13.8,20.0
21093,15.0,21.6
21095,35.5,47.7
21097,16.2,24.4
21099,22.0,31.1
21101,17.0,24.2
21103,17.7,26.5
21105,17.6,29.9
21107,18.4,26.6
21109,31.2,41.0
21111,15.4,22.4
21113,18.3,23.8
21115,25.9,34.4
21117,12.8,18.2
21119,33.8,46.4
21121,32.0,45.2
21123,18.1,27.7
21125,23.0,33.1
21127,25.0,34.3
21129,34.7,50.2
21131,33.7,39.4
21133,33.2,41.9
21135,24.7,35.6
21137,21.2,31.4
21139,15.3,25.0
