,county_fips,ABS_facilities_2009,ABS_facilities_2014,PCT_facilities_change,ABS_facilities_per_thousand_pop_2009,ABS_facilities_per_thousand_pop_2014,PCT_facilities_per_thousand_pop_change
1122,22019,17,14,-17.647058824,0.088967972,0.070992475,-20.204458327
1123,22021,1,1,0.0,0.098183603,0.101071356,2.941176471
1124,22023,0,0,0.0,0.0,0.0,0.0
1125,22025,0,0,0.0,0.0,0.0,0.0
1126,22027,0,0,0.0,0.0,0.0,0.0
1127,22029,2,1,-50.0,0.096497153,0.0488615,-49.364800156
1128,22031,1,3,200.0,0.0378601,0.110529806,191.942377128
1129,22033,62,68,9.677419355,0.141674455,0.152452011,7.607268576
1130,22035,0,0,0.0,0.0,0.0,0.0
1131,22037,1,1,0.0,0.0488114,0.0504719,3.401806894
1132,22039,1,1,0.0,0.0293444,0.0296736,1.121661721
1133,22041,1,1,0.0,0.0483629,0.0489213,1.154542341
1134,22043,0,0,0.0,0.0,0.0,0.0
1135,22045,5,7,40.0,0.068145887,0.094705938,38.97528175
1136,22047,1,0,-100.0,0.0299464,0.0,-100.0
1137,22049,2,2,0.0,0.124084874,0.125046893,0.775290734
1138,22051,45,51,13.333333333,0.104185719,0.11704872,12.346222463
1139,22053,3,4,33.333333333,0.095147479,0.127076913,33.55783588
1140,22055,27,35,29.62962963,0.12302589,0.148529137,20.729983773
1141,22057,8,11,37.5,0.083263947,0.112221996,34.778616609
1142,22059,0,1,,0.0,0.067389986,
1143,22061,5,4,-20.0,0.108061379,0.084003612,-22.263057311
1144,22063,11,8,-27.272727273,0.087142518,0.0589314,-32.373510056
1145,22065,0,0,0.0,0.0,0.0,0.0
1146,22067,0,1,,0.0,0.0373692,
1147,22069,2,3,50.0,0.0507292,0.076597048,50.991931778
1148,22071,23,35,52.173913043,0.070164092,0.091069942,29.795652626
1149,22073,18,12,-33.333333333,0.117602477,0.076763154,-34.726584573
1150,22075,3,5,66.666666667,0.131984162,0.213246897,61.570065822
1151,22077,1,0,-100.0,0.0437694,0.0,-100.0
1152,22079,11,11,0.0,0.083908616,0.083026387,-1.051415977
1153,22081,0,0,0.0,0.0,0.0,0.0
1154,22083,0,2,,0.0,0.096432015,
1155,22085,0,0,0.0,0.0,0.0,0.0
1156,22087,4,3,-25.0,0.121661902,0.067553874,-44.474093089
1157,22089,8,8,0.0,0.151747947,0.151673144,-0.049294
1158,22091,0,0,0.0,0.0,0.0,0.0
1159,22093,3,3,0.0,0.134946696,0.138644976,2.740549034
1160,22095,5,1,-80.0,0.107907459,0.0228598,-78.815407475
1161,22097,5,9,80.0,0.0596481,0.107515321,80.249435545
1162,22099,3,2,-33.333333333,0.0576646,0.0375129,-34.946387821
1163,22101,3,3,0.0,0.0549944,0.0564313,2.612768519
1164,22103,26,35,34.615384615,0.112445075,0.142375391,26.617720823
1165,22105,16,10,-37.5,0.133323334,0.078709789,-40.963230722
1166,22107,0,0,0.0,0.0,0.0,0.0
1167,22109,11,11,0.0,0.098487765,0.097063391,-1.446244529
1168,22111,2,1,-50.0,0.088460348,0.0443675,-49.844713608
1169,22113,6,4,-33.333333333,0.104014978,0.067096082,-35.49382716
1170,22115,1,1,0.0,0.0196452,0.0191821,-2.357477173
1171,22117,2,1,-50.0,0.0423173,0.0216048,-48.94568552
1172,22119,1,0,-100.0,0.0243126,0.0,-100.0
1173,22121,4,2,-50.0,0.171291538,0.079728922,-53.454255531
1174,22123,0,1,,0.0,0.086767896,
1175,22125,0,0,0.0,0.0,0.0,0.0
1176,22127,1,0,-100.0,0.064964594,0.0,-100.0
1177,23001,15,10,-33.333333333,0.139107855,0.093075205,-33.091337801
1178,23003,4,4,0.0,0.0553572,0.0575979,4.047691045
1179,23005,40,46,15.0,0.141859566,0.159834884,12.671205746
1180,23007,2,2,0.0,0.064979369,0.066015316,1.594269871
1181,23009,11,6,-45.454545455,0.201838566,0.109697236,-45.651003231
1182,23011,15,12,-20.0,0.122866223,0.099081842,-19.357949666
1183,23013,8,6,-25.0,0.200380723,0.151224922,-24.531202742
1184,23015,5,6,20.0,0.144395992,0.175592625,21.604916594
1185,23017,4,2,-50.0,0.069057197,0.0349418,-49.401621301
1186,23019,18,11,-38.888888889,0.117057944,0.071701409,-38.747079435
1187,23021,2,3,50.0,0.114724947,0.176201104,53.58569247
1188,23023,5,5,0.0,0.140579751,0.142673705,1.489513483
1189,23025,4,2,-50.0,0.076769538,0.0390907,-49.080390126
1190,23027,4,2,-50.0,0.103343151,0.0512151,-50.441730045
1191,23029,3,2,-33.333333333,0.091116173,0.062877264,-30.992203219
1192,23031,25,24,-4.0,0.126779991,0.119575507,-5.682666534
1193,24001,12,7,-41.666666667,0.159784823,0.095953504,-39.948299338
1194,24003,81,77,-4.938271605,0.152142676,0.137467352,-9.645764686
1195,24005,119,114,-4.201680672,0.148414583,0.137860145,-7.111456512
1196,24009,13,4,-69.230769231,0.147318798,0.0441438,-70.035204662
1197,24011,2,2,0.0,0.0605822,0.0614666,1.459831582
1198,24013,24,21,-12.5,0.143688483,0.125126616,-12.918131443
1199,24015,7,6,-14.285714286,0.069433423,0.0586035,-15.597595025
1200,24017,12,10,-16.666666667,0.082870639,0.064621608,-22.021105417
1201,24019,4,2,-50.0,0.123190638,0.0613911,-50.165756032
1202,24021,26,33,26.923076923,0.11258238,0.135426285,20.29083505
1203,24023,3,2,-33.333333333,0.099518992,0.067387715,-32.28657749
1204,24025,27,26,-3.703703704,0.110798777,0.103956338,-6.175554415
1205,24027,42,46,9.523809524,0.148377911,0.148730617,0.237707245
1206,24029,5,2,-60.0,0.248360819,0.100908174,-59.370332997
1207,24031,129,153,18.604651163,0.134513296,0.148479252,10.382583797
1208,24033,60,67,11.666666667,0.070080277,0.074079807,5.707069646
1209,24035,5,4,-20.0,0.105192292,0.081960495,-22.085074994
1210,24037,11,7,-36.363636364,0.106513803,0.063416137,-40.462048325
1211,24039,1,1,0.0,0.037843,0.0386713,2.18879307
1212,24041,7,7,0.0,0.18668658,0.185957549,-0.390510852
1213,24043,18,15,-16.666666667,0.122488142,0.100285479,-18.126377532
1214,24045,11,9,-18.181818182,0.112165924,0.088635894,-20.977877734
1215,24047,8,11,37.5,0.155905911,0.212868892,36.536768263
1216,24510,34,44,29.411764706,0.0547937,0.070649477,28.937166452
1217,25001,44,48,9.090909091,0.203709362,0.223345152,9.639119919
1218,25003,14,14,0.0,0.10665529,0.108767432,1.980344171
1219,25005,71,77,8.450704225,0.129722066,0.138940515,7.106307971
1220,25007,7,7,0.0,0.427533134,0.403318737,-5.663747407
1221,25009,111,117,5.405405405,0.150185499,0.152127642,1.293162265
1222,25011,9,9,0.0,0.126064545,0.127007423,0.747932601
1223,25013,44,40,-9.090909091,0.095078191,0.085440692,-10.136392473
1224,25015,20,19,-5.0,0.126654423,0.118057152,-6.787975568
1225,25017,284,324,14.084507042,0.189996548,0.20632803,8.595672897
1226,25019,2,3,50.0,0.195599022,0.276344878,41.281319086
1227,25021,127,131,3.149606299,0.190604547,0.189236899,-0.717531677
1228,25023,87,85,-2.298850575,0.176564422,0.167645585,-5.051321312
1229,25025,103,110,6.796116505,0.143811766,0.143368428,-0.308276286
1230,25027,107,105,-1.869158879,0.134548715,0.129075878,-4.067550284
1231,26001,0,0,0.0,0.0,0.0,0.0
1232,26003,0,0,0.0,0.0,0.0,0.0
1233,26005,6,4,-33.333333333,0.0539316,0.0351349,-34.852916634
1234,26007,3,3,0.0,0.100823391,0.1034911,2.645922451
1235,26009,2,0,-100.0,0.084047739,0.0,-100.0
1236,26011,2,1,-50.0,0.123129964,0.06513385,-47.101543672
1237,26013,0,0,0.0,0.0,0.0,0.0
1238,26015,5,2,-60.0,0.084077418,0.0337376,-59.873146539
1239,26017,9,7,-22.222222222,0.083400517,0.065926407,-20.952040108
1240,26019,1,0,-100.0,0.0569346,0.0,-100.0
1241,26021,18,13,-27.777777778,0.114606613,0.08374508,-26.928230466
1242,26023,5,4,-20.0,0.110185552,0.091858996,-16.63244919
1243,26025,12,12,0.0,0.08804044,0.088969291,1.055027506
1244,26027,2,2,0.0,0.0381956,0.0387537,1.461013796
1245,26029,4,5,25.0,0.153444837,0.191416868,24.74637265
1246,26031,4,1,-75.0,0.151917964,0.0389484,-74.362220058
1247,26033,3,2,-33.333333333,0.076581406,0.0521907,-31.849377626
1248,26035,3,2,-33.333333333,0.097225823,0.065248597,-32.889642873
1249,26037,6,5,-16.666666667,0.080183888,0.064685563,-19.328477604
1250,26039,0,1,,0.0,0.072753729,
1251,26041,7,7,0.0,0.188887989,0.19147132,1.367652288
1252,26043,5,6,20.0,0.189702925,0.23115152,21.849212159
