fips,county,state,CNT_population_2013,SQM_total_area_2000,PSM_population_density_2013,metropolitain_area_2013
22103,St. Tammany,LA,242427,1124.08,215.66703437477761,0
22105,Tangipahoa,LA,125430,823.12,152.38361356788803,1
22107,Tensas,LA,4881,641.2,7.6122894572676225,1
22109,Terrebonne,LA,112803,2079.9,54.23481898168181,0
22111,Union,LA,22386,905.28,24.72826086956522,1
22113,Vermilion,LA,59282,1538.31,38.537095903946536,1
22115,Vernon,LA,52889,1341.51,39.42497633264009,1
22117,Washington,LA,46319,675.97,68.52227169844815,0
22119,Webster,LA,40665,615.07,66.11442600029264,0
22121,West Baton Rouge,LA,24581,203.62,120.71996856890286,1
22123,West Carroll,LA,11456,360.32,31.793960923623448,1
22125,West Feliciana,LA,15419,426.01,36.193986056665345,0
22127,Winn,LA,14784,956.91,15.449728814622064,1
23001,Androscoggin,ME,107370,497.23,215.936287030147,0
23003,Aroostook,ME,70048,6828.79,10.257746980065283,1
23005,Cumberland,ME,286124,1216.89,235.12725061427082,0
23007,Franklin,ME,30478,1744.31,17.47281159885571,1
23009,Hancock,ME,54635,2351.03,23.238750675235963,0
23011,Kennebec,ME,121185,951.18,127.40490758846909,0
23013,Knox,ME,39639,1142.1,34.70711846598372,0
23015,Lincoln,ME,34186,699.81,48.85040225203984,0
23017,Oxford,ME,57343,2175.26,26.361446447780953,0
23019,Penobscot,ME,153518,3556.14,43.169841457310454,0
23021,Piscataquis,ME,17173,4377.36,3.923140888572108,1
23023,Sagadahoc,ME,35031,370.19,94.62978470515141,0
23025,Somerset,ME,51731,4095.37,12.631581517665072,1
23027,Waldo,ME,38948,852.74,45.67394516499754,0
23029,Washington,ME,32225,3254.91,9.900427354366174,0
23031,York,ME,199442,1271.34,156.87542278226127,0
24001,Allegany,MD,73618,429.82,171.27634823879762,1
24003,Anne Arundel,MD,555897,587.9,945.563871406702,1
24005,Baltimore,MD,823295,682.03,1207.1243200445726,1
24009,Calvert,MD,90477,345.09,262.1837781448318,1
24011,Caroline,MD,32658,326.06,100.15947985033431,1
24013,Carroll,MD,167476,452.4,370.1945181255526,0
24015,Cecil,MD,101917,417.88,243.89059060017232,1
24017,Charles,MD,152821,643.22,237.58745063897263,1
24019,Dorchester,MD,32595,982.92,33.1613966548651,1
24021,Frederick,MD,241180,667.34,361.404980969221,0
24023,Garrett,MD,29952,655.9,45.66549778929715,1
24025,Harford,MD,249210,526.72,473.1356318347509,0
24027,Howard,MD,304534,253.55,1201.0806547032146,1
24029,Kent,MD,19819,414.31,47.83616132847386,1
24031,Montgomery,MD,1,507.14,0.0019718420948850422,0
24033,Prince George's,MD,891302,498.45,1788.1472564951348,1
24035,Queen Anne's,MD,48495,509.79,95.12740540222444,1
24037,St. Mary's,MD,109607,764.5,143.37083060824068,1
24039,Somerset,MD,26049,610.78,42.648744228691186,1
24041,Talbot,MD,37914,476.77,79.52262097027919,1
24043,Washington,MD,149321,467.55,319.36905143834883,0
24045,Wicomico,MD,100944,399.79,252.49255859326146,1
24047,Worcester,MD,51431,694.73,74.03019878226073,1
24510,Baltimore,MD,622858,92.08,6764.313640312772,1
25001,Barnstable,MA,214844,1305.62,164.55323907415638,1
25003,Berkshire,MA,129409,946.27,136.75695097593712,1
25005,Bristol,MA,552637,691.19,799.5442642399339,1
25007,Dukes,MA,17146,490.95,34.92412669314594,1
25009,Essex,MA,764129,828.53,922.2707687108493,0
25011,Franklin,MA,71149,724.74,98.17175814774954,1
25013,Hampden,MA,467206,634.12,736.7785277234593,0
25015,Hampshire,MA,160851,545.44,294.90136403637433,1
25017,Middlesex,MA,1,847.54,0.0011798853151473675,1
25019,Nantucket,MA,10529,303.64,34.675932024766176,1
25021,Norfolk,MA,688749,443.94,1551.4461413704557,0
25023,Plymouth,MA,503281,1093.39,460.29413109686396,1
25025,Suffolk,MA,759670,120.19,6320.575755054497,1
25027,Worcester,MA,810230,1579.02,513.1220630517663,1
26001,Alcona,MI,10573,1790.54,5.904922537335105,1
26003,Alger,MI,9495,5049.08,1.88054061333946,0
26005,Allegan,MI,112415,1833.3,61.318387607047406,0
26007,Alpena,MI,29012,1695.0,17.11622418879056,0
26009,Antrim,MI,23219,601.9,38.57617544442599,0
26011,Arenac,MI,15412,680.81,22.63774033871418,0
26013,Baraga,MI,8682,1068.85,8.122748748655097,0
26015,Barry,MI,59134,576.9,102.50303345467151,0
26017,Bay,MI,106910,630.91,169.45364632039437,1
26019,Benzie,MI,17400,859.64,20.241031129309945,1
26021,Berrien,MI,155501,1581.38,98.332469109259,0
26023,Branch,MI,43539,519.49,83.81104544842056,1
26025,Calhoun,MI,134869,718.44,187.72479260620233,0
26027,Cass,MI,51848,508.46,101.97065649215278,1
26029,Charlevoix,MI,26199,1390.76,18.83790157899278,1
26031,Cheboygan,MI,25617,885.23,28.938242038792183,0
26033,Chippewa,MI,38630,2697.98,14.318119481982816,0
26035,Clare,MI,30579,575.22,53.16052988421821,0
26037,Clinton,MI,77127,574.57,134.2342969525036,0
26039,Crawford,MI,13904,563.37,24.68005041092,1
26041,Delta,MI,36830,1991.58,18.49285491920988,0
26043,Dickinson,MI,26032,777.12,33.49804406011941,0
26045,Eaton,MI,108245,579.02,186.945183240648,0
26047,Emmet,MI,33064,882.26,37.47648085598349,1
26049,Genesee,MI,415553,649.34,639.9621153786921,0
26051,Gladwin,MI,25530,516.43,49.43554789613307,1
26053,Gogebic,MI,15854,1476.43,10.738064114113095,0
26055,Grand Traverse,MI,89998,601.13,149.714703974182,0
26057,Gratiot,MI,42019,571.61,73.50991060338342,0
26059,Hillsdale,MI,46155,607.14,76.02035774285996,0
26061,Houghton,MI,36675,1501.56,24.42459841764565,0
26063,Huron,MI,32269,2136.47,15.103886317149318,0
26065,Ingham,MI,282587,560.94,503.7740221770599,0
